Source	Target
0	3396
0	3489
0	4175
1	3285
1	3372
1	3441
1	3749
2	7609
2	7865
3	3229
3	4229
3	6361
4	3073
4	3510
4	3749
4	4023
5	3064
5	3213
5	3423
5	4068
6	3536
6	3920
6	12225
7	3162
7	3352
7	4377
8	7857
8	10017
9	3234
9	3481
9	3849
10	3223
10	3897
10	5705
11	5473
11	8937
12	3018
12	3029
12	8777
13	9225
13	10945
14	8425
14	9825
15	5673
15	7185
16	5793
16	11713
17	3347
17	3809
17	4132
17	4179
18	5649
18	8025
19	4417
19	8049
20	3139
20	3230
20	3931
21	7689
21	11145
22	6681
22	12025
23	3056
23	3343
23	3630
23	3698
24	4569
24	6121
25	3643
25	3714
25	5361
26	3196
26	3282
26	3319
26	3710
27	3220
27	3268
27	3876
27	3931
28	7633
28	8153
29	3323
29	3333
29	5881
30	3424
30	3902
30	4170
30	4173
31	3148
31	3784
31	7433
32	8473
32	10377
33	3318
33	4247
33	7529
34	7361
34	8121
35	3342
35	4018
35	7665
36	9961
36	10937
37	3235
37	3591
37	3988
38	3397
38	3474
38	3533
38	4017
39	3009
39	3015
39	3362
40	3199
40	3494
40	9065
41	5433
41	9097
42	3534
42	4521
43	3002
43	3142
43	3717
43	3810
44	5025
44	11585
45	7601
45	8457
46	8689
46	10745
47	3294
47	3878
47	10697
48	3308
48	3394
48	3457
48	4084
49	3813
49	11089
50	3220
50	3736
50	3999
51	6129
51	9329
52	5585
52	9833
53	5745
53	7385
54	9825
54	11817
55	3038
55	3829
55	3904
55	3954
56	3238
56	3291
56	3757
57	3678
57	4126
57	4202
57	4204
58	7657
58	12129
59	3956
59	5033
59	5689
60	3354
60	3631
60	4729
61	3003
61	3398
61	3636
61	3848
62	3536
62	10585
63	3059
63	3175
63	7121
64	3181
64	3257
64	3296
64	3629
65	3161
65	3251
65	3374
65	3944
66	3403
66	3409
66	3606
67	3218
67	3452
67	4079
67	4243
68	7049
68	11777
69	8033
69	8529
70	3183
70	3595
70	3667
70	3728
71	3451
71	3860
71	4129
71	4161
72	7185
72	8673
73	3531
73	4993
74	5553
74	9617
75	3432
75	3611
75	3634
76	7929
76	10209
77	7569
77	9969
77	11929
78	6513
78	11785
79	10217
79	11761
80	3006
80	3238
81	3148
81	4010
81	4119
81	4141
82	3191
82	3504
82	3985
82	4230
83	3046
83	3664
83	10113
84	3393
84	3555
84	3583
84	4136
85	3165
85	3910
85	5441
86	3323
86	3333
86	3775
87	3038
87	3560
87	5889
88	4125
88	11249
89	3255
89	11657
90	4211
90	9857
91	3474
91	3529
91	3533
91	3970
92	3127
92	3707
92	3756
92	4058
93	3108
93	3232
93	3674
93	3998
94	3184
94	3329
94	3338
94	3715
95	3278
95	3953
95	4012
96	3508
96	4062
96	4120
97	3566
